Country Name,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Burundi,6767073.0,6946720.0,7159918.0,7401215.0,7661613.0,7934213.0,8218070.0,8514578.0,8821795.0,9137786.0,9461117.0,9790151.0,10124572.0,10465959.0,10816860.0,11178921.0
Cambodia,12197905.0,12448881.0,12681984.0,12901217.0,13112334.0,13320058.0,13525360.0,13728700.0,13933660.0,14144337.0,14363586.0,14593099.0,14832255.0,15078564.0,15328136.0,15577899.0
Cameroon,15927713.0,16349364.0,16779434.0,17218591.0,17667576.0,18126999.0,18597109.0,19078100.0,19570418.0,20074522.0,20590666.0,21119065.0,21659488.0,22211166.0,22773014.0,23344179.0
Canada,30769700.0,31081900.0,31362000.0,31676000.0,31995000.0,32312000.0,32570505.0,32887928.0,33245773.0,33628571.0,34005274.0,34342780.0,34751476.0,35155499.0,35543658.0,35851774.0
Cabo Verde,438737.0,447357.0,455396.0,462675.0,468985.0,474224.0,478265.0,481278.0,483824.0,486673.0,490379.0,495159.0,500870.0,507258.0,513906.0,520502.0
Cayman Islands,41685.0,43317.0,44742.0,46032.0,47299.0,48623.0,50028.0,51480.0,52925.0,54285.0,55509.0,56580.0,57522.0,58369.0,59172.0,59967.0
Central African Republic,3726048.0,3794677.0,3859784.0,3923294.0,3987896.0,4055608.0,4127112.0,4202104.0,4280405.0,4361492.0,4444973.0,4530903.0,4619500.0,4710678.0,4804316.0,4900274.0
Chad,8343321.0,8663599.0,9002102.0,9353516.0,9710498.0,10067932.0,10423616.0,10779504.0,11139740.0,11510535.0,11896380.0,12298512.0,12715465.0,13145788.0,13587053.0,14037472.0
Channel Islands,148725.0,149797.0,150905.0,152034.0,153170.0,154298.0,155415.0,156516.0,157587.0,158613.0,159583.0,160489.0,161336.0,162138.0,162917.0,163692.0
Chile,15170387.0,15358418.0,15544554.0,15729268.0,15913119.0,16096571.0,16279728.0,16462701.0,16645940.0,16829957.0,17015048.0,17201305.0,17388437.0,17575833.0,17762647.0,17948141.0
China,1262645000.0,1271850000.0,1280400000.0,1288400000.0,1296075000.0,1303720000.0,1311020000.0,1317885000.0,1324655000.0,1331260000.0,1337705000.0,1344130000.0,1350695000.0,1357380000.0,1364270000.0,1371220000.0
Colombia,40403959.0,40988909.0,41572493.0,42152147.0,42724157.0,43285636.0,43835744.0,44374647.0,44901660.0,45416276.0,45918101.0,46406446.0,46881018.0,47342363.0,47791393.0,48228704.0
Comoros,547696.0,561525.0,575428.0,589500.0,603869.0,618632.0,633814.0,649404.0,665414.0,681845.0,698695.0,715972.0,733661.0,751697.0,769991.0,788474.0
"Congo, Dem. Rep.",48048664.0,49449015.0,50971407.0,52602208.0,54314855.0,56089536.0,57926840.0,59834875.0,61809278.0,63845097.0,65938712.0,68087376.0,70291160.0,72552861.0,74877030.0,77266814.0
"Congo, Rep.",3109269.0,3183883.0,3256867.0,3331564.0,3412592.0,3503086.0,3604595.0,3715665.0,3832771.0,3950786.0,4066078.0,4177435.0,4286188.0,4394334.0,4504962.0,4620330.0
Costa Rica,3925450.0,3996800.0,4063208.0,4125970.0,4187039.0,4247843.0,4308790.0,4369465.0,4429506.0,4488261.0,4545273.0,4600487.0,4654148.0,4706433.0,4757606.0,4807850.0
Cote d'Ivoire,16517948.0,16865376.0,17185421.0,17491539.0,17802516.0,18132702.0,18486392.0,18862172.0,19261647.0,19684909.0,20131707.0,20604172.0,21102641.0,21622490.0,22157107.0,22701556.0
Croatia,4426000.0,4440000.0,4440000.0,4440000.0,4439000.0,4442000.0,4440000.0,4436000.0,4434508.0,4429078.0,4417781.0,4280622.0,4267558.0,4255689.0,4238389.0,4224404.0
Cuba,11116787.0,11151472.0,11184540.0,11214837.0,11240680.0,11261052.0,11275199.0,11284043.0,11290239.0,11297442.0,11308133.0,11323570.0,11342631.0,11362505.0,11379111.0,11389562.0
Curacao,133860.0,129047.0,129205.0,131897.0,134192.0,137658.0,141239.0,144056.0,145880.0,146833.0,148703.0,150831.0,152088.0,153822.0,155909.0,158040.0
Cyprus,943287.0,961482.0,979883.0,998150.0,1015827.0,1032586.0,1048293.0,1063040.0,1077010.0,1090486.0,1103685.0,1116644.0,1129303.0,1141652.0,1153658.0,1165300.0
Czech Republic,10255063.0,10216605.0,10196916.0,10193998.0,10197101.0,10211216.0,10238905.0,10298828.0,10384603.0,10443936.0,10474410.0,10496088.0,10510785.0,10514272.0,10525347.0,10551219.0
Denmark,5339616.0,5358783.0,5375931.0,5390574.0,5404523.0,5419432.0,5437272.0,5461438.0,5493621.0,5523095.0,5547683.0,5570572.0,5591572.0,5614932.0,5643475.0,5676002.0
Djibouti,722562.0,734088.0,745459.0,756656.0,767644.0,778406.0,788941.0,799309.0,809639.0,820097.0,830802.0,841802.0,853069.0,864554.0,876174.0,887861.0
Dominica,69679.0,69660.0,69806.0,70058.0,70325.0,70542.0,70690.0,70795.0,70881.0,70995.0,71167.0,71402.0,71685.0,72005.0,72341.0,72680.0
Dominican Republic,8562623.0,8697127.0,8832286.0,8967759.0,9102997.0,9237565.0,9371333.0,9504336.0,9636491.0,9767737.0,9897983.0,10027140.0,10155036.0,10281408.0,10405943.0,10528391.0
Ecuador,12628596.0,12852753.0,13072056.0,13289600.0,13509645.0,13735232.0,13967490.0,14205479.0,14447600.0,14691310.0,14934692.0,15177280.0,15419493.0,15661312.0,15902916.0,16144363.0
"Egypt, Arab Rep.",68334905.0,69599945.0,70908710.0,72247626.0,73596068.0,74942115.0,76274285.0,77605327.0,78976122.0,80442443.0,82040994.0,83787634.0,85660902.0,87613909.0,89579670.0,91508084.0
El Salvador,5811836.0,5844738.0,5874301.0,5900929.0,5925089.0,5947206.0,5967556.0,5986414.0,6004199.0,6021368.0,6038306.0,6055208.0,6072233.0,6089644.0,6107706.0,6126583.0
Equatorial Guinea,530896.0,549007.0,567664.0,586772.0,606201.0,625866.0,645718.0,665798.0,686223.0,707155.0,728710.0,750918.0,773729.0,797082.0,820885.0,845060.0
Eritrea,3535156.0,3655006.0,3788532.0,3928408.0,4064958.0,4191273.0,4304440.0,4406299.0,4500638.0,4593549.0,4689664.0,4789568.0,..,..,..,..
